     1→     1→     1→[
    90→    90→    90→      "Temperature tolerance of thermal blue-green algae is due to",
    91→    91→    91→      "(a) cell wall structure",
    92→    92→    92→      "(b) cell organisation",
    93→    93→    93→      "(c) mitochondrial structure",
    94→    94→    94→      "(d) homopolar bonds in their proteins",
    95→    95→    95→      1.0,
    96→    96→    96→      "Cyanobacteria provide a good example of the adaptability of life to extremes of environment. It is due to their gelatinous sheath that can withstand long periods of desiccation.",
    97→    97→    97→      "CBSE AIPMT",
    98→    98→    98→      1994.0,
    99→    99→    99→      null
   100→   100→   100→    ]
   101→   101→   101→  },
   102→   102→   102→  {
   103→   103→   103→    "sheet": "Class11",
   104→   104→   104→    "row": 1210,
   105→   105→   105→    "data": [
   106→   106→   106→      "Biology",
   107→   107→   107→      2.0,
   108→   108→   108→      "Biological Classification",
   109→   109→   109→      "English",
   110→   110→   110→      "Escherichia coli is used extensively in biological research as it is",
   111→   111→   111→      "(a) easily cultured",
   112→   112→   112→      "(b) easily available",
   113→   113→   113→      "(c) easy to handle",
   114→   114→   114→      "(d) easily multiplied in host",
   115→   115→   115→      1.0,
   116→   116→   116→      "Escherichia coli is the most studied bacterium and widely used in research because it is easily cultured on minimal medium and has a fast rate of multiplication.",
   117→   117→   117→      "CBSE AIPMT",
   118→   118→   118→      1993.0,
   119→   119→   119→      null
   120→   120→   120→    ]
   121→   121→   121→  },
   122→   122→   122→  {
   123→   123→   123→    "sheet": "Class11",
   124→   124→   124→    "row": 1211,
   125→   125→   125→    "data": [
   126→   126→   126→      "Biology",
   127→   127→   127→      2.0,
   128→   128→   128→      "Biological Classification",
   129→   129→   129→      "English",
   130→   130→   130→      "Genophore bacterial genome or nucleoid is made of",
   131→   131→   131→      "(a) histones and non-histones",
   132→   132→   132→      "(b) RNA and histones",
   133→   133→   133→      "(c) a single double stranded DNA",
   134→   134→   134→      "(d) a single stranded DNA",
   135→   135→   135→      3.0,
   136→   136→   136→      "In bacteria nucleoid or genophore is haploid and consists of single, naked, double stranded, circular ring like highly folded supercoiled DNA with no free ends, no histone proteins.",
   137→   137→   137→      "CBSE AIPMT",
   138→   138→   138→      1993.0,
   139→   139→   139→      null
   140→   140→   140→    ]
   141→   141→   141→  },
   142→   142→   142→  {
   143→   143→   143→    "sheet": "Class11",
   144→   144→   144→    "row": 1212,
   145→   145→   145→    "data": [
   146→   146→   146→      "Biology",
   147→   147→   147→      2.0,
   148→   148→   148→      "Biological Classification",
   149→   149→   149→      "English",
   150→   150→   150→      "Bacteria lack alternation of generation because there is",
   151→   151→   151→      "(a) neither syngamy nor reduction division",
   152→   152→   152→      "(b) distinct chromosomes are absent",
   153→   153→   153→      "(c) no conjugation",
   154→   154→   154→      "(d) no exchange of genetic material",
   155→   155→   155→      1.0,
   156→   156→   156→      "No true sexual reproduction (involving formation of gametes, their fusion and meiosis) is known to occur in bacteria.",
   157→   157→   157→      "CBSE AIPMT",
   158→   158→   158→      1992.0,
   159→   159→   159→      null
   160→   160→   160→    ]
   161→   161→   161→  },
   162→   162→   162→  {
   163→   163→   163→    "sheet": "Class11",
   164→   164→   164→    "row": 1213,
   165→   165→   165→    "data": [
   166→   166→   166→      "Biology",
   167→   167→   167→      2.0,
   168→   168→   168→      "Biological Classification",
   169→   169→   169→      "English",
   170→   170→   170→      "Which one belongs to the Monera?",
   171→   171→   171→      "(a) Amoeba",
   172→   172→   172→      "(b) Escherichia",
   173→   173→   173→      "(c) Gelidium",
   174→   174→   174→      "(d) Spirogyra",
   175→   175→   175→      2.0,
   176→   176→   176→      "The kingdom-Monera includes simple, prokaryotic primitive organisms like bacteria. Escherichia coli is a bacterium.",
   177→   177→   177→      "CBSE AIPMT",
   178→   178→   178→      1990.0,
   179→   179→   179→      null
   180→   180→   180→    ]
   181→   181→   181→  },
   182→   182→   182→  {
   183→   183→   183→    "sheet": "Class11",
   184→   184→   184→    "row": 1214,
   185→   185→   185→    "data": [
   186→   186→   186→      "Biology",
   187→   187→   187→      2.0,
   188→   188→   188→      "Biological Classification",
   189→   189→   189→      "English",
   190→   190→   190→      "Ciliates differ from all other protozoans in",
   191→   191→   191→      "(a) using pseudopodia for capturing prey",
   192→   192→   192→      "(b) having a contractile vacuole for removing excess water",
   193→   193→   193→      "(c) using flagella for locomotion",
   194→   194→   194→      "(d) having two types of nuclei",
   195→   195→   195→      4.0,
   196→   196→   196→      "Ciliates differ from all other protozoans in having two types of nuclei (meganucleus and micronucleus).",
   197→   197→   197→      "NEET",
   198→   198→   198→      2018.0,
   199→   199→   199→      null
   200→   200→   200→    ]
   201→   201→   201→  },
   202→   202→   202→  {
   203→   203→   203→    "sheet": "Class11",
   204→   204→   204→    "row": 1215,
   205→   205→   205→    "data": [
   206→   206→   206→      "Biology",
   207→   207→   207→      2.0,
   208→   208→   208→      "Biological Classification",
   209→   209→   209→      "English",
   210→   210→   210→      "Chrysophytes, euglenoids, dinoflagellates and slime moulds are included in the kingdom",
   211→   211→   211→      "(a) Protista",
   212→   212→   212→      "(b) Fungi",
   213→   213→   213→      "(c) Animalia",
   214→   214→   214→      "(d) Monera",
   215→   215→   215→      1.0,
   216→   216→   216→      "All single celled eukaryotic organisms like chrysophytes, euglenoids, dinoflagellates and slime moulds are included in kingdom-Protista.",
   217→   217→   217→      "NEET",
   218→   218→   218→      2016.0,
   219→   219→   219→      null
   220→   220→   220→    ]
   221→   221→   221→  },
   222→   222→   222→  {
   223→   223→   223→    "sheet": "Class11",
   224→   224→   224→    "row": 1216,
   225→   225→   225→    "data": [
   226→   226→   226→      "Biology",
   227→   227→   227→      2.0,
   228→   228→   228→      "Biological Classification",
   229→   229→   229→      "English",
   230→   230→   230→      "Select the wrong statement.",
   231→   231→   231→      "(a) The walls of diatoms are easily destructible",
   232→   232→   232→      "(b) 'Diatomaceous earth' is formed by the cell walls of diatoms",
   233→   233→   233→      "(c) Diatoms are chief producers in the oceans",
   234→   234→   234→      "(d) Diatoms are microscopic and float passively in water",
   235→   235→   235→      1.0,
   236→   236→   236→      "Diatoms produce intricately structured cell walls made of silica (SiO2), making them indestructible.",
   237→   237→   237→      "NEET",
   238→   238→   238→      2016.0,
   239→   239→   239→      null
   240→   240→   240→    ]
   241→   241→   241→  },
   242→   242→   242→  {
   243→   243→   243→    "sheet": "Class11",
   244→   244→   244→    "row": 1217,
   245→   245→   245→    "data": [
   246→   246→   246→      "Biology",
   247→   247→   247→      2.0,
   248→   248→   248→      "Biological Classification",
   249→   249→   249→      "English",
   250→   250→   250→      "Pick up the wrong statement.",
   251→   251→   251→      "(a) Cell wall is absent in Animalia",
   252→   252→   252→      "(b) Protista have photosynthetic and heterotrophic modes of nutrition",
   253→   253→   253→      "(c) Some fungi are edible",
   254→   254→   254→      "(d) Nuclear membrane is present in Monera",
   255→   255→   255→      4.0,
   256→   256→   256→      "Monera contains unicellular organisms with a prokaryotic cell organisation which lacks nuclear membrane.",
   257→   257→   257→      "CBSE AIPMT",
   258→   258→   258→      2015.0,
   259→   259→   259→      null
   260→   260→   260→    ]
   261→   261→   261→  },
   262→   262→   262→  {
   263→   263→   263→    "sheet": "Class11",
   264→   264→   264→    "row": 1218,
   265→   265→   265→    "data": [
   266→   266→   266→      "Biology",
   267→   267→   267→      2.0,
   268→   268→   268→      "Biological Classification",
   269→   269→   269→      "English",
   270→   270→   270→      "In which group of organisms the cell walls form two thin overlapping shells which fit together?",
   271→   271→   271→      "(a) Chrysophytes",
   272→   272→   272→      "(b) Euglenoids",
   273→   273→   273→      "(c) Dinoflagellates",
   274→   274→   274→      "(d) Slime moulds",
   275→   275→   275→      1.0,
   276→   276→   276→      "In diatoms (Chrysophytes), the cell walls form two thin overlapping cells, which fit together as in a soap box.",
   277→   277→   277→      "CBSE AIPMT",
   278→   278→   278→      2015.0,
   279→   279→   279→      null
   280→   280→   280→    ]
   281→   281→   281→  },
   282→   282→   282→  {
   283→   283→   283→    "sheet": "Class11",
   284→   284→   284→    "row": 1219,
   285→   285→   285→    "data": [
   286→   286→   286→      "Biology",
   287→   287→   287→      2.0,
   288→   288→   288→      "Biological Classification",
   289→   289→   289→      "English",
   290→   290→   290→      "What is common about Trypanosoma, Noctiluca, Monocystis and Giardia?",
   291→   291→   291→      "(a) These are all unicellular protists",
   292→   292→   292→      "(b) They have flagella",
   293→   293→   293→      "(c) They produce spores",
   294→   294→   294→      "(d) These are all parasites",
   295→   295→   295→      1.0,
   296→   296→   296→      "Trypanosoma, Noctiluca, Monocystis and Giardia are all unicellular protists.",
   297→   297→   297→      "CBSE AIPMT",
   298→   298→   298→      2006.0,
   299→   299→   299→      null
   300→   300→   300→    ]
   301→   301→   301→  },
   302→   302→   302→  {
   303→   303→   303→    "sheet": "Class11",
   304→   304→   304→    "row": 1220,
   305→   305→   305→    "data": [
   306→   306→   306→      "Biology",
   307→   307→   307→      2.0,
   308→   308→   308→      "Biological Classification",
   309→   309→   309→      "English",
   310→   310→   310→      "Auxospores and hormocysts are formed respectively by",
   311→   311→   311→      "(a) several diatoms and a few cyanobacteria",
   312→   312→   312→      "(b) several cyanobacteria and several diatoms",
   313→   313→   313→      "(c) some diatoms and several cyanobacteria",
   314→   314→   314→      "(d) some cyanobacteria and many diatoms",
   315→   315→   315→      1.0,
   316→   316→   316→      "Auxospores are formed by diatoms and hormocysts are formed by some cyanobacteria.",
   317→   317→   317→      "CBSE AIPMT",
   318→   318→   318→      2005.0,
   319→   319→   319→      null
   320→   320→   320→    ]
   321→   321→   321→  },
   322→   322→   322→  {
   323→   323→   323→    "sheet": "Class11",
   324→   324→   324→    "row": 1221,
   325→   325→   325→    "data": [
   326→   326→   326→      "Biology",
   327→   327→   327→      2.0,
   328→   328→   328→      "Biological Classification",
   329→   329→   329→      "English",
   330→   330→   330→      "Which of the following unicellular organism has a macro-nucleus for trophic function and one or more micro-nuclei for reproduction?",
   331→   331→   331→      "(a) Euglena",
   332→   332→   332→      "(b) Amoeba",
   333→   333→   333→      "(c) Paramecium",
   334→   334→   334→      "(d) Trypanosoma",
   335→   335→   335→      3.0,
   336→   336→   336→      "Paramecium is heterokaryotic, having a macronucleus for vegetative functions and a micronucleus for reproduction.",
   337→   337→   337→      "CBSE AIPMT",
   338→   338→   338→      2005.0,
   339→   339→   339→      null
   340→   340→   340→    ]
   341→   341→   341→  },
   342→   342→   342→  {
   343→   343→   343→    "sheet": "Class11",
   344→   344→   344→    "row": 1222,
   345→   345→   345→    "data": [
   346→   346→   346→      "Biology",
   347→   347→   347→      2.0,
   348→   348→   348→      "Biological Classification",
   349→   349→   349→      "English",
   350→   350→   350→      "When a freshwater protozoan possessing a contractile vacuole is placed in a glass containing marine water, the vacuole will",
   351→   351→   351→      "(a) increase in number",
   352→   352→   352→      "(b) disappear",
   353→   353→   353→      "(c) increase in size",
   354→   354→   354→      "(d) decrease in size",
   355→   355→   355→      2.0,
   356→   356→   356→      "In hypertonic marine water, endosmosis does not occur, so the contractile vacuole (used for osmoregulation) disappears.",
   357→   357→   357→      "CBSE AIPMT",
   358→   358→   358→      2004.0,
   359→   359→   359→      null
   360→   360→   360→    ]
   361→   361→   361→  },
   362→   362→   362→  {
   363→   363→   363→    "sheet": "Class11",
   364→   364→   364→    "row": 1223,
   365→   365→   365→    "data": [
   366→   366→   366→      "Biology",
   367→   367→   367→      2.0,
   368→   368→   368→      "Biological Classification",
   369→   369→   369→      "English",
   370→   370→   370→      "The chief advantage of encystment to an Amoeba is",
   371→   371→   371→      "(a) the chance to get rid of accumulated waste products",
   372→   372→   372→      "(b) the ability to survive during adverse physical conditions",
   373→   373→   373→      "(c) the ability to live for some time without ingesting food",
   374→   374→   374→      "(d) protection from parasites and predators",
   375→   375→   375→      2.0,
   376→   376→   376→      "Encystment helps Amoeba to tide over unfavourable conditions like drought and extreme temperature.",
   377→   377→   377→      "CBSE AIPMT",
   378→   378→   378→      2003.0,
   379→   379→   379→      null
   380→   380→   380→    ]
   381→   381→   381→  },
   382→   382→   382→  {
   383→   383→   383→    "sheet": "Class11",
   384→   384→   384→    "row": 1224,
   385→   385→   385→    "data": [
   386→   386→   386→      "Biology",
   387→   387→   387→      2.0,
   388→   388→   388→      "Biological Classification",
   389→   389→   389→      "English",
   390→   390→   390→      "In which animal, dimorphic nucleus is found?",
   391→   391→   391→      "(a) Amoeba",
   392→   392→   392→      "(b) Trypanosoma gambiense",
   393→   393→   393→      "(c) Plasmodium vivax",
   394→   394→   394→      "(d) Paramecium caudatum",
   395→   395→   395→      4.0,
   396→   396→   396→      "Paramecium possesses a dimorphic nuclear apparatus (macronucleus and micronucleus).",
   397→   397→   397→      "CBSE AIPMT",
   398→   398→   398→      2002.0,
   399→   399→   399→      null
   400→   400→   400→    ]
   401→   401→   401→  },
   402→   402→   402→  {
   403→   403→   403→    "sheet": "Class11",
   404→   404→   404→    "row": 1225,
   405→   405→   405→    "data": [
   406→   406→   406→      "Biology",
   407→   407→   407→      2.0,
   408→   408→   408→      "Biological Classification",
   409→   409→   409→      "English",
   410→   410→   410→      "Extranuclear inheritance occurs in",
   411→   411→   411→      "(a) killer strain in Paramecium",
   412→   412→   412→      "(b) colour blindness",
   413→   413→   413→      "(c) phenylketonuria",
   414→   414→   414→      "(d) Tay Sachs disease",
   415→   415→   415→      1.0,
   416→   416→   416→      "Paramecium exhibits cytoplasmic inheritance due to the presence of Kappa particles.",
   417→   417→   417→      "CBSE AIPMT",
   418→   418→   418→      2001.0,
   419→   419→   419→      null
   420→   420→   420→    ]
   421→   421→   421→  },
   422→   422→   422→  {
   423→   423→   423→    "sheet": "Class11",
   424→   424→   424→    "row": 1226,
   425→   425→   425→    "data": [
   426→   426→   426→      "Biology",
   427→   427→   427→      2.0,
   428→   428→   428→      "Biological Classification",
   429→   429→   429→      "English",
   430→   430→   430→      "Which of the following organisms possesses characteristics of both a plant and an animal?",
   431→   431→   431→      "(a) Bacteria",
   432→   432→   432→      "(b) Mycoplasma",
   433→   433→   433→      "(c) Euglena",
   434→   434→   434→      "(d) Paramecium",
   435→   435→   435→      3.0,
   436→   436→   436→      "Euglena contains chlorophyll (plant-like) but feeds like animals in the absence of sunlight (animal-like).",
   437→   437→   437→      "CBSE AIPMT",
   438→   438→   438→      1995.0,
   439→   439→   439→      null
   440→   440→   440→    ]
   441→   441→   441→  },
   442→   442→   442→  {
   443→   443→   443→    "sheet": "Class11",
   444→   444→   444→    "row": 1227,
   445→   445→   445→    "data": [
   446→   446→   446→      "Biology",
   447→   447→   447→      2.0,
   448→   448→   448→      "Biological Classification",
   449→   449→   449→      "English",
   450→   450→   450→      "Macro and micronucleus are the characteristic feature of",
   451→   451→   451→      "(a) Paramecium and Vorticella",
   452→   452→   452→      "(b) Opeling and Nictothirus",
   453→   453→   453→      "(c) Hydra and Ballantidium",
   454→   454→   454→      "(d) Vorticella and Nictothirus",
   455→   455→   455→      1.0,
   456→   456→   456→      "Paramecium and Vorticella have dimorphic nuclei (heterokaryotic).",
   457→   457→   457→      "CBSE AIPMT",
   458→   458→   458→      1995.0,
   459→   459→   459→      null
   460→   460→   460→    ]
   461→   461→   461→  },
   462→   462→   462→  {
   463→   463→   463→    "sheet": "Class11",
   464→   464→   464→    "row": 1229,
   465→   465→   465→    "data": [
   466→   466→   466→      "Biology",
   467→   467→   467→      2.0,
   468→   468→   468→      "जीव जगत का वर्गीकरण",
   469→   469→   469→      "Hindi",
   470→   470→   470→      "The plasmid (प्लाज्मिड)",
   471→   471→   471→      "(a) श्वसन में मदद करता है",
   472→   472→   472→      "(b) जीन जो केंद्रक (nucleus) के अंदर पाए जाते हैं",
   473→   473→   473→      "(c) बैक्टीरिया की कोशिका भित्ति (cell wall) का एक घटक है",
   474→   474→   474→      "(d) सूक्ष्मजीवों में DNA के अतिरिक्त आनुवंशिक भाग है",
   475→   475→   475→      4.0,
   476→   476→   476→      "प्लाज्मिड बैक्टीरिया में छोटे, स्व-प्रतिकृति (self-replicating), अतिरिक्त-गुणसूत्र (extrachromosomal), गैर-आवश्यक आनुवंशिक तत्व हैं। प्रत्येक प्लाज्मिड में गोलाकार, सुपरकोल्ड, डबल स्ट्रैंडेड DNA का एक वलय होता है।",
   477→   477→   477→      "CBSE AIPMT",
   478→   478→   478→      1995.0,
   479→   479→   479→      null
   480→   480→   480→    ]
   481→   481→   481→  },
   482→   482→   482→  {
   483→   483→   483→    "sheet": "Class11",
   484→   484→   484→    "row": 1230,
   485→   485→   485→    "data": [
   486→   486→   486→      "Biology",
   487→   487→   487→      2.0,
   488→   488→   488→      "जीव जगत का वर्गीकरण",
   489→   489→   489→      "Hindi",
   490→   490→   490→      "थर्मल ब्लू-ग्रीन शैवाल (thermal blue-green algae) की तापमान सहिष्णुता (Temperature tolerance) किसके कारण होती है?",
   491→   491→   491→      "(a) कोशिका भित्ति संरचना (cell wall structure)",
   492→   492→   492→      "(b) कोशिका संगठन (cell organisation)",
   493→   493→   493→      "(c) माइटोकॉन्ड्रियल संरचना (mitochondrial structure)",
   494→   494→   494→      "(d) उनके प्रोटीन में होमोपोलर बॉन्ड (homopolar bonds)",
   495→   495→   495→      1.0,
   496→   496→   496→      "सायनोबैक्टीरिया (Cyanobacteria) का वातावरण की चरम सीमाओं के प्रति अनुकूलनशीलता का एक अच्छा उदाहरण है। यह उनके जिलेटिनस आवरण (gelatinous sheath) के कारण है जो सूखने (desiccation) की लंबी अवधि का सामना कर सकता है।",
   497→   497→   497→      "CBSE AIPMT",
   498→   498→   498→      1994.0,
   499→   499→   499→      null
   500→   500→   500→    ]
   501→   501→   501→  },
   502→   502→   502→  {
   503→   503→   503→    "sheet": "Class11",
   504→   504→   504→    "row": 1231,
   505→   505→   505→    "data": [
   506→   506→   506→      "Biology",
   507→   507→   507→      2.0,
   508→   508→   508→      "जीव जगत का वर्गीकरण",
   509→   509→   509→      "Hindi",
   510→   510→   510→      "Escherichia coli का उपयोग जैविक अनुसंधान में बड़े पैमाने पर किया जाता है क्योंकि यह",
   511→   511→   511→      "(a) आसानी से कल्चर (cultured) किया जा सकता है",
   512→   512→   512→      "(b) आसानी से उपलब्ध है",
   513→   513→   513→      "(c) संभालना आसान है",
   514→   514→   514→      "(d) मेजबान (host) में आसानी से गुणा (multiplied) हो जाता है",
   515→   515→   515→      1.0,
   516→   516→   516→      "Escherichia coli सबसे अधिक अध्ययन किया जाने वाला बैक्टीरिया है और अनुसंधान में व्यापक रूप से उपयोग किया जाता है क्योंकि इसे न्यूनतम माध्यम (minimal medium) पर आसानी से कल्चर किया जाता है और इसमें गुणन की तीव्र दर होती है।",
   517→   517→   517→      "CBSE AIPMT",
   518→   518→   518→      1993.0,
   519→   519→   519→      null
   520→   520→   520→    ]
   521→   521→   521→  },
   522→   522→   522→  {
   523→   523→   523→    "sheet": "Class11",
   524→   524→   524→    "row": 1232,
   525→   525→   525→    "data": [
   526→   526→   526→      "Biology",
   527→   527→   527→      2.0,
   528→   528→   528→      "जीव जगत का वर्गीकरण",
   529→   529→   529→      "Hindi",
   530→   530→   530→      "जेनोफोर (Genophore) बैक्टीरिया जीनोम या न्यूक्लियॉइड (nucleoid) किसका बना होता है?",
   531→   531→   531→      "(a) हिस्टोन (histones) और गैर-हिस्टोन",
   532→   532→   532→      "(b) RNA और हिस्टोन",
   533→   533→   533→      "(c) एक एकल डबल स्ट्रैंडेड DNA",
   534→   534→   534→      "(d) एक एकल स्ट्रैंडेड DNA",
   535→   535→   535→      3.0,
   536→   536→   536→      "बैक्टीरिया में न्यूक्लियॉइड या जेनोफोर अगुणित (haploid) होता है और इसमें एकल, नग्न, डबल स्ट्रैंडेड, गोलाकार वलय जैसा अत्यधिक मुड़ा हुआ सुपरकोल्ड DNA होता है जिसमें कोई मुक्त सिरा नहीं होता है, और कोई हिस्टोन प्रोटीन नहीं होता है।",
   537→   537→   537→      "CBSE AIPMT",
   538→   538→   538→      1993.0,
   539→   539→   539→      null
   540→   540→   540→    ]
   541→   541→   541→  },
   542→   542→   542→  {
   543→   543→   543→    "sheet": "Class11",
   544→   544→   544→    "row": 1233,
   545→   545→   545→    "data": [
   546→   546→   546→      "Biology",
   547→   547→   547→      2.0,
   548→   548→   548→      "जीव जगत का वर्गीकरण",
   549→   549→   549→      "Hindi",
   550→   550→   550→      "बैक्टीरिया में पीढ़ी के एकांतरण (alternation of generation) की कमी होती है क्योंकि वहाँ",
   551→   551→   551→      "(a) न तो syngamy है और न ही reduction division",
   552→   552→   552→      "(b) स्पष्ट गुणसूत्र अनुपस्थित हैं",
   553→   553→   553→      "(c) कोई संयुग्मन (conjugation) नहीं है",
   554→   554→   554→      "(d) आनुवंशिक सामग्री का कोई आदान-प्रदान नहीं है",
   555→   555→   555→      1.0,
   556→   556→   556→      "बैक्टीरिया में कोई वास्तविक यौन प्रजनन (जिसमें युग्मकों का निर्माण, उनका संलयन और अर्धसूत्रीविभाजन शामिल हो) नहीं होता है।",
   557→   557→   557→      "CBSE AIPMT",
   558→   558→   558→      1992.0,
   559→   559→   559→      null
   560→   560→   560→    ]
   561→   561→   561→  },
   562→   562→   562→  {
   563→   563→   563→    "sheet": "Class11",
   564→   564→   564→    "row": 1234,
   565→   565→   565→    "data": [
   566→   566→   566→      "Biology",
   567→   567→   567→      2.0,
   568→   568→   568→      "जीव जगत का वर्गीकरण",
   569→   569→   569→      "Hindi",
   570→   570→   570→      "कौन सा Monera से संबंधित है?",
   571→   571→   571→      "(a) Amoeba",
   572→   572→   572→      "(b) Escherichia",
   573→   573→   573→      "(c) Gelidium",
   574→   574→   574→      "(d) Spirogyra",
   575→   575→   575→      2.0,
   576→   576→   576→      "किंगडम-Monera में सरल, प्रोकैरियोटिक आदिम जीव जैसे बैक्टीरिया शामिल हैं। Escherichia coli एक बैक्टीरिया है।",
   577→   577→   577→      "CBSE AIPMT",
   578→   578→   578→      1990.0,
   579→   579→   579→      null
   580→   580→   580→    ]
   581→   581→   581→  },
   582→   582→   582→  {
   583→   583→   583→    "sheet": "Class11",
   584→   584→   584→    "row": 1235,
   585→   585→   585→    "data": [
   586→   586→   586→      "Biology",
   587→   587→   587→      2.0,
   588→   588→   588→      "जीव जगत का वर्गीकरण",
   589→   589→   589→      "Hindi",
   590→   590→   590→      "Ciliates अन्य सभी प्रोटोजोआ से किसमें भिन्न हैं?",
   591→   591→   591→      "(a) शिकार को पकड़ने के लिए स्यूडोपोडिया (pseudopodia) का उपयोग करना",
   592→   592→   592→      "(b) अतिरिक्त पानी को हटाने के लिए एक संकुचनशील रिक्तिका (contractile vacuole) होना",
   593→   593→   593→      "(c) हरकत (locomotion) के लिए फ्लैगेला (flagella) का उपयोग करना",
   594→   594→   594→      "(d) दो प्रकार के केंद्रक (nuclei) होना",
   595→   595→   595→      4.0,
   596→   596→   596→      "Ciliates अन्य सभी प्रोटोजोआ से दो प्रकार के केंद्रक (meganucleus और micronucleus) होने में भिन्न होते हैं।",
   597→   597→   597→      "NEET",
   598→   598→   598→      2018.0,
   599→   599→   599→      null
   600→   600→   600→    ]
   601→   601→   601→  },
   602→   602→   602→  {
   603→   603→   603→    "sheet": "Class11",
   604→   604→   604→    "row": 1236,
   605→   605→   605→    "data": [
   606→   606→   606→      "Biology",
   607→   607→   607→      2.0,
   608→   608→   608→      "जीव जगत का वर्गीकरण",
   609→   609→   609→      "Hindi",
   610→   610→   610→      "Chrysophytes, euglenoids, dinoflagellates और slime moulds को किस जगत (kingdom) में शामिल किया गया है?",
   611→   611→   611→      "(a) Protista",
   612→   612→   612→      "(b) Fungi",
   613→   613→   613→      "(c) Animalia",
   614→   614→   614→      "(d) Monera",
   615→   615→   615→      1.0,
   616→   616→   616→      "सभी एकल कोशिकीय यूकेरियोटिक जीव जैसे chrysophytes, euglenoids, dinoflagellates और slime moulds को किंगडम-Protista में शामिल किया गया है।",
   617→   617→   617→      "NEET",
   618→   618→   618→      2016.0,
   619→   619→   619→      null
   620→   620→   620→    ]
   621→   621→   621→  },
   622→   622→   622→  {
   623→   623→   623→    "sheet": "Class11",
