     1→     1→{
     2→     2→ "batch": 13,
     3→     3→ "questions": [
   254→   254→   "Correct Option": "4.0",
   255→   255→   "Explanation": "फेन प्लवन में, चीड़ के तेल का उपयोग किया जाता है क्योंकि यह सल्फाइड अयस्क के कणों को अधिमानतः (Preferentially) भिगोता है, जिससे वे हवा के बुलबुलों से चिपक कर झाग के रूप में ऊपर उठते हैं।",
   256→   256→   "Exam": "CBSE",
   257→   257→   "Year": "2021.0",
   258→   258→   "_sheet_row": 617
   259→   259→  },
   260→   260→  {
   261→   261→   "Subject": "Science",
   262→   262→   "Chapter No.": "3.0",
   263→   263→   "Chapter Name": "धातु एवं अधातु",
   264→   264→   "Medium": "Hindi",
   265→   265→   "Question": "किस धातु कार्बोनेट को ऑक्सीजन की उपस्थिति के बिना केवल गर्म करके अपघटित किया जा सकता है?",
   266→   266→   "Option 1": "Na2CO3",
   267→   267→   "Option 2": "K2CO3",
   268→   268→   "Option 3": "ZnCO3",
   269→   269→   "Option 4": "Li2CO3",
   270→   270→   "Correct Option": "3.0",
   271→   271→   "Explanation": "जिंक कार्बोनेट ($ZnCO_3$) जैसी कम अभिक्रियाशील धातु कार्बोनेट गर्म करने पर (निस्तापन) अपघटित होकर $ZnO$ और $CO_2$ बनाते हैं। सोडियम/पोटेशियम कार्बोनेट बहुत स्थिर होते हैं।",
   272→   272→   "Exam": "CBSE",
   273→   273→   "Year": "2022.0",
   274→   274→   "_sheet_row": 618
   275→   275→  },
   276→   276→  {
   277→   277→   "Subject": "Science",
   278→   278→   "Chapter No.": "3.0",
   279→   279→   "Chapter Name": "धातु एवं अधातु",
   280→   280→   "Medium": "Hindi",
   281→   281→   "Question": "मिश्रधातु 'मैग्नेलियम' (Magnalium) में होता है:",
   282→   282→   "Option 1": "Mg और Al",
   283→   283→   "Option 2": "Mg और Cu",
   284→   284→   "Option 3": "Al और Zn",
   285→   285→   "Option 4": "Mg और Fe",
   286→   286→   "Correct Option": "1.0",
   287→   287→   "Explanation": "मैग्नेलियम 95% एल्युमीनियम और 5% मैग्नीशियम से बनी एक हल्की लेकिन मजबूत मिश्रधातु है, जिसका उपयोग हवाई जहाजों और वैज्ञानिक उपकरणों में किया जाता है।",
   288→   288→   "Exam": "ICSE",
   289→   289→   "Year": "2019.0",
   290→   290→   "_sheet_row": 619
   291→   291→  },
   292→   292→  {
   293→   293→   "Subject": "Science",
   294→   294→   "Chapter No.": "3.0",
   295→   295→   "Chapter Name": "धातु एवं अधातु",
   296→   296→   "Medium": "Hindi",
   297→   297→   "Question": "एक अधातु 'P' ऑक्सीजन के साथ अभिक्रिया करके ऑक्साइड 'Q' बनाती है। 'Q' जल में घुलकर नीले लिटमस को लाल कर देता है। 'P' है:",
   298→   298→   "Option 1": "सोडियम",
   299→   299→   "Option 2": "सल्फर",
   300→   300→   "Option 3": "मैग्नीशियम",
   301→   301→   "Option 4": "कार्बन मोनोऑक्साइड",
   302→   302→   "Correct Option": "2.0",
   303→   303→   "Explanation": "सल्फर (अधातु) $SO_2$ (अम्लीय ऑक्साइड) बनाता है। $SO_2$ जल के साथ अभिक्रिया करके सल्फ्यूरस अम्ल ($H_2SO_3$) बनाता है, जो नीले लिटमस को लाल कर देता है।",
   304→   304→   "Exam": "CBSE",
   305→   305→   "Year": "2020.0",
   306→   306→   "_sheet_row": 620
   307→   307→  },
   308→   308→  {
   309→   309→   "Subject": "Science",
   310→   310→   "Chapter No.": "3.0",
   311→   311→   "Chapter Name": "धातु एवं अधातु",
   312→   312→   "Medium": "Hindi",
   313→   313→   "Question": "जब एक अधिक अभिक्रियाशील धातु अपने लवण के विलयन में कम अभिक्रियाशील धातु की जगह लेती है, तो उस रासायनिक अभिक्रिया को क्या कहते हैं?",
   314→   314→   "Option 1": "संयोजन",
   315→   315→   "Option 2": "वियोजन",
   316→   316→   "Option 3": "विस्थापन",
   317→   317→   "Option 4": "उदासीनीकरण",
   318→   318→   "Correct Option": "3.0",
   319→   319→   "Explanation": "यह एक विस्थापन (Displacement) अभिक्रिया है, जो सक्रियता श्रेणी (Reactivity Series) के नियमों का पालन करती है।",
   320→   320→   "Exam": "Bihar Board",
   321→   321→   "Year": "2021.0",
   322→   322→   "_sheet_row": 621
   323→   323→  },
   324→   324→  {
   325→   325→   "Subject": "Science",
   326→   326→   "Chapter No.": "4.0",
   327→   327→   "Chapter Name": "Carbon and its Compounds",
   328→   328→   "Medium": "English",
   329→   329→   "Question": "Which of the following properties is generally not shown by carbon compounds?",
   330→   330→   "Option 1": "Good conductor of electricity",
   331→   331→   "Option 2": "Low melting and boiling points",
   332→   332→   "Option 3": "Covalent bonding",
   333→   333→   "Option 4": "Solubility in organic solvents",
   334→   334→   "Correct Option": "1.0",
   335→   335→   "Explanation": "Most carbon compounds are poor conductors of electricity because they are covalent in nature and do not form ions.",
   336→   336→   "Exam": "CBSE",
   337→   337→   "Year": "2020.0",
   338→   338→   "_sheet_row": 622
   339→   339→  },
   340→   340→  {
   341→   341→   "Subject": "Science",
   342→   342→   "Chapter No.": "4.0",
   343→   343→   "Chapter Name": "Carbon and its Compounds",
   344→   344→   "Medium": "English",
   345→   345→   "Question": "The self-linking property of carbon atoms through covalent bonds to form long chains is called:",
   346→   346→   "Option 1": "Allotropy",
   347→   347→   "Option 2": "Catenation",
   348→   348→   "Option 3": "Isomerism",
   349→   349→   "Option 4": "Polymerization",
   350→   350→   "Correct Option": "2.0",
   351→   351→   "Explanation": "Catenation is the unique ability of carbon to form bonds with other atoms of carbon, giving rise to large molecules.",
   352→   352→   "Exam": "CBSE",
   353→   353→   "Year": "2018.0",
   354→   354→   "_sheet_row": 623
   355→   355→  },
   356→   356→  {
   357→   357→   "Subject": "Science",
   358→   358→   "Chapter No.": "4.0",
   359→   359→   "Chapter Name": "Carbon and its Compounds",
   360→   360→   "Medium": "English",
   361→   361→   "Question": "How many covalent bonds are present in a molecule of Ethane ($C_2H_6$)?",
   362→   362→   "Option 1": "6.0",
   363→   363→   "Option 2": "7.0",
   364→   364→   "Option 3": "8.0",
   365→   365→   "Option 4": "9.0",
   366→   366→   "Correct Option": "2.0",
   367→   367→   "Explanation": "In Ethane, there is 1 C-C bond and 6 C-H bonds, making a total of 7 covalent bonds.",
   368→   368→   "Exam": "CBSE",
   369→   369→   "Year": "2019.0",
   370→   370→   "_sheet_row": 624
   371→   371→  },
   372→   372→  {
   373→   373→   "Subject": "Science",
   374→   374→   "Chapter No.": "4.0",
   375→   375→   "Chapter Name": "Carbon and its Compounds",
   376→   376→   "Medium": "English",
   377→   377→   "Question": "Which of the following is the correct formula for Benzene?",
   378→   378→   "Option 1": "$C_6H_{12}$",
   379→   379→   "Option 2": "$C_6H_6$",
   380→   380→   "Option 3": "$C_6H_{10}$",
   381→   381→   "Option 4": "$C_6H_{14}$",
   382→   382→   "Correct Option": "2.0",
   383→   383→   "Explanation": "Benzene is a cyclic hydrocarbon with the formula $C_6H_6$, consisting of alternate double bonds in a hexagonal ring.",
   384→   384→   "Exam": "CBSE",
   385→   385→   "Year": "2021.0",
   386→   386→   "_sheet_row": 625
   387→   387→  },
   388→   388→  {
   389→   389→   "Subject": "Science",
   390→   390→   "Chapter No.": "4.0",
   391→   391→   "Chapter Name": "Carbon and its Compounds",
   392→   392→   "Medium": "English",
   393→   393→   "Question": "The general formula for the Alkyne homologous series is:",
   394→   394→   "Option 1": "$C_nH_{2n+2}$",
   395→   395→   "Option 2": "$C_nH_{2n}$",
   396→   396→   "Option 3": "$C_nH_{2n-2}$",
   397→   397→   "Option 4": "$C_nH_n$",
   398→   398→   "Correct Option": "3.0",
   399→   399→   "Explanation": "Alkynes contain at least one triple bond between carbon atoms and follow the $C_nH_{2n-2}$ formula.",
   400→   400→   "Exam": "UP Board",
   401→   401→   "Year": "2022.0",
   402→   402→   "_sheet_row": 626
   403→   403→  },
   404→   404→  {
   405→   405→   "Subject": "Science",
   406→   406→   "Chapter No.": "4.0",
   407→   407→   "Chapter Name": "Carbon and its Compounds",
   408→   408→   "Medium": "English",
   409→   409→   "Question": "Buckminsterfullerene is an allotropic form of:",
   410→   410→   "Option 1": "Phosphorus",
   411→   411→   "Option 2": "Sulphur",
   412→   412→   "Option 3": "Carbon",
   413→   413→   "Option 4": "Tin",
   414→   414→   "Correct Option": "3.0",
   415→   415→   "Explanation": "Fullerene ($C_{60}$) is an allotrope of carbon shaped like a football, named after architect Buckminster Fuller.",
   416→   416→   "Exam": "CBSE",
   417→   417→   "Year": "2017.0",
   418→   418→   "_sheet_row": 627
   419→   419→  },
   420→   420→  {
   421→   421→   "Subject": "Science",
   422→   422→   "Chapter No.": "4.0",
   423→   423→   "Chapter Name": "Carbon and its Compounds",
   424→   424→   "Medium": "English",
   425→   425→   "Question": "Which of the following is the functional group present in Propanone?",
   426→   426→   "Option 1": "Aldehyde",
   427→   427→   "Option 2": "Alcohol",
   428→   428→   "Option 3": "Ketone",
   429→   429→   "Option 4": "Carboxylic acid",
   430→   430→   "Correct Option": "3.0",
   431→   431→   "Explanation": "Propanone ($CH_3COCH_3$) contains the carbonyl group ($>C=O$) located in the middle of the chain, making it a Ketone.",
   432→   432→   "Exam": "CBSE",
   433→   433→   "Year": "2023.0",
   434→   434→   "_sheet_row": 628
   435→   435→  },
   436→   436→  {
   437→   437→   "Subject": "Science",
   438→   438→   "Chapter No.": "4.0",
   439→   439→   "Chapter Name": "Carbon and its Compounds",
   440→   440→   "Medium": "English",
   441→   441→   "Question": "The difference in the molecular mass of two consecutive members of a homologous series is:",
   442→   442→   "Option 1": "12 u",
   443→   443→   "Option 2": "14 u",
   444→   444→   "Option 3": "16 u",
   445→   445→   "Option 4": "28 u",
   446→   446→   "Correct Option": "2.0",
   447→   447→   "Explanation": "Consecutive members differ by a $-CH_2$ group. Mass = 12 (C) + 2 (H) = 14 u.",
   448→   448→   "Exam": "CBSE",
   449→   449→   "Year": "2021.0",
   450→   450→   "_sheet_row": 629
   451→   451→  },
   452→   452→  {
   453→   453→   "Subject": "Science",
   454→   454→   "Chapter No.": "4.0",
   455→   455→   "Chapter Name": "Carbon and its Compounds",
   456→   456→   "Medium": "English",
   457→   457→   "Question": "Pentane has the molecular formula $C_5H_{12}$. It has:",
   458→   458→   "Option 1": "5 covalent bonds",
   459→   459→   "Option 2": "12 covalent bonds",
   460→   460→   "Option 3": "16 covalent bonds",
   461→   461→   "Option 4": "17 covalent bonds",
   462→   462→   "Correct Option": "3.0",
   463→   463→   "Explanation": "In Pentane, there are 4 C-C bonds and 12 C-H bonds. $4 + 12 = 16$.",
   464→   464→   "Exam": "CBSE",
   465→   465→   "Year": "2020.0",
   466→   466→   "_sheet_row": 630
   467→   467→  },
   468→   468→  {
   469→   469→   "Subject": "Science",
   470→   470→   "Chapter No.": "4.0",
   471→   471→   "Chapter Name": "Carbon and its Compounds",
   472→   472→   "Medium": "English",
   473→   473→   "Question": "Vinegar is a solution of:",
   474→   474→   "Option 1": "50-60% acetic acid in alcohol",
   475→   475→   "Option 2": "5-8% acetic acid in alcohol",
   476→   476→   "Option 3": "5-8% acetic acid in water",
   477→   477→   "Option 4": "50-60% acetic acid in water",
   478→   478→   "Correct Option": "3.0",
   479→   479→   "Explanation": "A dilute solution of acetic acid (ethanoic acid) in water is commercially known as vinegar.",
   480→   480→   "Exam": "Bihar Board",
   481→   481→   "Year": "2021.0",
   482→   482→   "_sheet_row": 631
   483→   483→  },
   484→   484→  {
   485→   485→   "Subject": "Science",
   486→   486→   "Chapter No.": "4.0",
   487→   487→   "Chapter Name": "Carbon and its Compounds",
   488→   488→   "Medium": "English",
   489→   489→   "Question": "While cooking, if the bottom of the vessel is getting blackened on the outside, it means that:",
   490→   490→   "Option 1": "The food is not cooked completely",
   491→   491→   "Option 2": "The fuel is not burning completely",
   492→   492→   "Option 3": "The fuel is wet",
   493→   493→   "Option 4": "The fuel is burning completely",
   494→   494→   "Correct Option": "2.0",
   495→   495→   "Explanation": "Blackening (soot formation) indicates incomplete combustion, usually due to insufficient oxygen supply through the air holes of the burner.",
   496→   496→   "Exam": "CBSE",
   497→   497→   "Year": "2017.0",
   498→   498→   "_sheet_row": 632
   499→   499→  },
   500→   500→  {
   501→   501→   "Subject": "Science",
   502→   502→   "Chapter No.": "4.0",
   503→   503→   "Chapter Name": "Carbon and its Compounds",
   504→   504→   "Medium": "English",
   505→   505→   "Question": "Identify the unsaturated compound from the following:",
   506→   506→   "Option 1": "Propane",
   507→   507→   "Option 2": "Propene",
   508→   508→   "Option 3": "Propyne",
   509→   509→   "Option 4": "Both 2 and 3",
   510→   510→   "Correct Option": "4.0",
   511→   511→   "Explanation": "Propene (double bond) and Propyne (triple bond) are unsaturated. Propane (single bond) is saturated.",
   512→   512→   "Exam": "CBSE",
   513→   513→   "Year": "2019.0",
   514→   514→   "_sheet_row": 633
   515→   515→  },
   516→   516→  {
   517→   517→   "Subject": "Science",
   518→   518→   "Chapter No.": "4.0",
   519→   519→   "Chapter Name": "Carbon and its Compounds",
   520→   520→   "Medium": "English",
